akkanigAgiyo akka(N9)+nigAgi_#_BEN+yo_#_DUB
akkanigAgiyo akka(N9)+nigAgi_#_BEN+yo_#_PRES
akkanigAgiye akka(N9)+nigAgi_#_BEN+ye_#_IMPH
akkanigAgiye akka(N9)+nigAgi_#_BEN+ye_#_DECL
akkanigAgiye akka(N9)+nigAgi_#_BEN+ye_#_RIS
akkanigAgiyA akka(N9)+nigAgi_#_PUR+yA_#_INTR
akkanigAgiyU akka(N9)+nigAgi_#_PUR+yU_#_INCL
akkanigAgiyo akka(N9)+nigAgi_#_PUR+yo_#_DUB
akkanigAgiyo akka(N9)+nigAgi_#_PUR+yo_#_PRES
akkanigAgiye akka(N9)+nigAgi_#_PUR+ye_#_IMPH
akkanigAgiye akka(N9)+nigAgi_#_PUR+ye_#_DECL
akkanigAgiye akka(N9)+nigAgi_#_PUR+ye_#_RIS
akkanigosugavA akka(N9)+nigosuga_#_BEN+vA_#_INTR
akkanigosugavU akka(N9)+nigosuga_#_BEN+vU_#_INCL
akkanigosugavo akka(N9)+nigosuga_#_BEN+vo_#_DUB
akkanigosugavo akka(N9)+nigosuga_#_BEN+vo_#_INDF
akkanigosugavo akka(N9)+nigosuga_#_BEN+vo_#_PRES
akkanigosugave akka(N9)+nigosuga_#_BEN+ve_#_IMPH
akkanigosugave akka(N9)+nigosuga_#_BEN+ve_#_DECL
akkanigosugave akka(N9)+nigosuga_#_BEN+ve_#_RIS
akkanigosugavA akka(N9)+nigosuga_#_PUR+vA_#_INTR
akkanigosugavU akka(N9)+nigosuga_#_PUR+vU_#_INCL
akkanigosugavo akka(N9)+nigosuga_#_PUR+vo_#_DUB
akkanigosugavo akka(N9)+nigosuga_#_PUR+vo_#_INDF
akkanigosugavo akka(N9)+nigosuga_#_PUR+vo_#_PRES
akkanigosugave akka(N9)+nigosuga_#_PUR+ve_#_IMPH
akkanigosugave akka(N9)+nigosuga_#_PUR+ve_#_DECL
akkanigosugave akka(N9)+nigosuga_#_PUR+ve_#_RIS
akkanigiMwalA akka(N9)+nigiMwa_#_COMP+lA_#_INTR
akkanigiMwalU akka(N9)+nigiMwa_#_COMP+lU_#_INCL
akkanigiMwalo akka(N9)+nigiMwa_#_COMP+lo_#_DUB
akkanigiMwalo akka(N9)+nigiMwa_#_COMP+lo_#_INDF
akkanigiMwalo akka(N9)+nigiMwa_#_COMP+lo_#_PRES
akkanigiMwale akka(N9)+nigiMwa_#_COMP+le_#_IMPH
akkanigiMwale akka(N9)+nigiMwa_#_COMP+le_#_DECL
akkanigiMwale akka(N9)+nigiMwa_#_COMP+le_#_RIS
akkanaMweVyA akka(N9)+naMweV_#_SIM+yA_#_INTR
akkanaMweVyU akka(N9)+naMweV_#_SIM+yU_#_INCL
akkanaMweVyo akka(N9)+naMweV_#_SIM+yo_#_DUB
akkanaMweVyo akka(N9)+naMweV_#_SIM+yo_#_INDF
akkanaMweVyo akka(N9)+naMweV_#_SIM+yo_#_PRES
akkanaMweVye akka(N9)+naMweV_#_SIM+ye_#_IMPH
akkanaMweVye akka(N9)+naMweV_#_SIM+ye_#_DECL
akkanaMweVye akka(N9)+naMweV_#_SIM+ye_#_RIS
akkanoVdaneVyA akka(N9)+noVdaneV_#_SOC+yA_#_INTR
akkanoVdaneVyU akka(N9)+noVdaneV_#_SOC+yU_#_INCL
akkanoVdaneVyo akka(N9)+noVdaneV_#_SOC+yo_#_DUB
akkanoVdaneVyo akka(N9)+noVdaneV_#_SOC+yo_#_INDF
