UrigAgiyo Uru(N8)+rigAgi_ru_BEN+yo_#_INDF
UrigAgiyo Uru(N8)+rigAgi_ru_BEN+yo_#_PRES
UrigAgiye Uru(N8)+rigAgi_ru_BEN+ye_#_IMPH
UrigAgiye Uru(N8)+rigAgi_ru_BEN+ye_#_DECL
UrigAgiye Uru(N8)+rigAgi_ru_BEN+ye_#_RIS
UrigAgiyA Uru(N8)+rigAgi_ru_PUR+yA_#_INTR
UrigAgiyU Uru(N8)+rigAgi_ru_PUR+yU_#_INCL
UrigAgiyo Uru(N8)+rigAgi_ru_PUR+yo_#_DUB
UrigAgiyo Uru(N8)+rigAgi_ru_PUR+yo_#_INDF
UrigAgiyo Uru(N8)+rigAgi_ru_PUR+yo_#_PRES
UrigAgiye Uru(N8)+rigAgi_ru_PUR+ye_#_IMPH
UrigAgiye Uru(N8)+rigAgi_ru_PUR+ye_#_DECL
UrigAgiye Uru(N8)+rigAgi_ru_PUR+ye_#_RIS
UrigosugavA Uru(N8)+rigosuga_ru_BEN+vA_#_INTR
UrigosugavU Uru(N8)+rigosuga_ru_BEN+vU_#_INCL
Urigosugavo Uru(N8)+rigosuga_ru_BEN+vo_#_DUB
Urigosugavo Uru(N8)+rigosuga_ru_BEN+vo_#_INDF
Urigosugavo Uru(N8)+rigosuga_ru_BEN+vo_#_PRES
Urigosugave Uru(N8)+rigosuga_ru_BEN+ve_#_IMPH
Urigosugave Uru(N8)+rigosuga_ru_BEN+ve_#_DECL
Urigosugave Uru(N8)+rigosuga_ru_BEN+ve_#_RIS
UrigosugavA Uru(N8)+rigosuga_ru_PUR+vA_#_INTR
UrigosugavU Uru(N8)+rigosuga_ru_PUR+vU_#_INCL
Urigosugavo Uru(N8)+rigosuga_ru_PUR+vo_#_DUB
Urigosugavo Uru(N8)+rigosuga_ru_PUR+vo_#_INDF
Urigosugavo Uru(N8)+rigosuga_ru_PUR+vo_#_PRES
Urigosugave Uru(N8)+rigosuga_ru_PUR+ve_#_IMPH
Urigosugave Uru(N8)+rigosuga_ru_PUR+ve_#_DECL
Urigosugave Uru(N8)+rigosuga_ru_PUR+ve_#_RIS
UrigiMwalA Uru(N8)+rigiMwa_ru_COMP+lA_#_INTR
UrigiMwalU Uru(N8)+rigiMwa_ru_COMP+lU_#_INCL
UrigiMwalo Uru(N8)+rigiMwa_ru_COMP+lo_#_DUB
UrigiMwalo Uru(N8)+rigiMwa_ru_COMP+lo_#_INDF
UrigiMwalo Uru(N8)+rigiMwa_ru_COMP+lo_#_PRES
UrigiMwale Uru(N8)+rigiMwa_ru_COMP+le_#_IMPH
UrigiMwale Uru(N8)+rigiMwa_ru_COMP+le_#_DECL
UrigiMwale Uru(N8)+rigiMwa_ru_COMP+le_#_RIS
UraMweVyA Uru(N8)+raMweV_ru_SIM+yA_#_INTR
UraMweVyU Uru(N8)+raMweV_ru_SIM+yU_#_INCL
UraMweVyo Uru(N8)+raMweV_ru_SIM+yo_#_DUB
UraMweVyo Uru(N8)+raMweV_ru_SIM+yo_#_INDF
UraMweVyo Uru(N8)+raMweV_ru_SIM+yo_#_PRES
UraMweVye Uru(N8)+raMweV_ru_SIM+ye_#_IMPH
UraMweVye Uru(N8)+raMweV_ru_SIM+ye_#_DECL
UraMweVye Uru(N8)+raMweV_ru_SIM+ye_#_RIS
UroVdaneVyA Uru(N8)+roVdaneV_ru_SOC+yA_#_INTR
UroVdaneVyU Uru(N8)+roVdaneV_ru_SOC+yU_#_INCL
UroVdaneVyo Uru(N8)+roVdaneV_ru_SOC+yo_#_DUB
UroVdaneVyo Uru(N8)+roVdaneV_ru_SOC+yo_#_INDF
UroVdaneVyo Uru(N8)+roVdaneV_ru_SOC+yo_#_PRES
UroVdaneVye Uru(N8)+roVdaneV_ru_SOC+ye_#_IMPH
UroVdaneVye Uru(N8)+roVdaneV_ru_SOC+ye_#_DECL
UroVdaneVye Uru(N8)+roVdaneV_ru_SOC+ye_#_RIS
UroVMxigeVyA Uru(N8)+roVMxigeV_ru_SOC+yA_#_INTR
UroVMxigeVyU Uru(N8)+roVMxigeV_ru_SOC+yU_#_INCL
UroVMxigeVyo Uru(N8)+roVMxigeV_ru_SOC+yo_#_DUB
UroVMxigeVyo Uru(N8)+roVMxigeV_ru_SOC+yo_#_INDF
UroVMxigeVyo Uru(N8)+roVMxigeV_ru_SOC+yo_#_PRES
UroVMxigeVye Uru(N8)+roVMxigeV_ru_SOC+ye_#_IMPH
UroVMxigeVye Uru(N8)+roVMxigeV_ru_SOC+ye_#_DECL
UroVMxigeVye Uru(N8)+roVMxigeV_ru_SOC+ye_#_RIS
