marakkoskarave mara(N1)+kkoskara_#_BEN+ve_#_RIS
marakkoskaravA mara(N1)+kkoskara_#_PUR+vA_#_INTR
marakkoskaravU mara(N1)+kkoskara_#_PUR+vU_#_INCL
marakkoskaravo mara(N1)+kkoskara_#_PUR+vo_#_DUB
marakkoskaravo mara(N1)+kkoskara_#_PUR+vo_#_INDF
marakkoskaravo mara(N1)+kkoskara_#_PUR+vo_#_PRES
marakkoskarave mara(N1)+kkoskara_#_PUR+ve_#_IMPH
marakkoskarave mara(N1)+kkoskara_#_PUR+ve_#_DECL
marakkoskarave mara(N1)+kkoskara_#_BEN+ve_#_RIS
marakkAgiyA mara(N1)+kkAgi_#_BEN+yA_#_INTR
marakkAgiyU mara(N1)+kkAgi_#_BEN+yU_#_INCL
marakkAgiyo mara(N1)+kkAgi_#_BEN+yo_#_DUB
marakkAgiyo mara(N1)+kkAgi_#_BEN+yo_#_INDF
marakkAgiyo mara(N1)+kkAgi_#_BEN+yo_#_PRES
marakkAgiye mara(N1)+kkAgi_#_BEN+ye_#_IMPH
marakkAgiye mara(N1)+kkAgi_#_BEN+ye_#_DECL
marakkAgiye mara(N1)+kkAgi_#_BEN+ye_#_RIS
marakkAgiyA mara(N1)+kkAgi_#_PUR+yA_#_INTR
marakkAgiyU mara(N1)+kkAgi_#_PUR+yU_#_INCL
marakkAgiyo mara(N1)+kkAgi_#_PUR+yo_#_DUB
marakkAgiyo mara(N1)+kkAgi_#_PUR+yo_#_INDF
marakkAgiyo mara(N1)+kkAgi_#_PUR+yo_#_PRES
marakkAgiye mara(N1)+kkAgi_#_PUR+ye_#_IMPH
marakkAgiye mara(N1)+kkAgi_#_PUR+ye_#_DECL
marakkAgiye mara(N1)+kkAgi_#_PUR+ye_#_RIS
marakkosugavA mara(N1)+kkosuga_#_BEN+vA_#_INTR
marakkosugavU mara(N1)+kkosuga_#_BEN+vU_#_INCL
marakkosugavo mara(N1)+kkosuga_#_BEN+vo_#_DUB
marakkosugavo mara(N1)+kkosuga_#_BEN+vo_#_INDF
marakkosugavo mara(N1)+kkosuga_#_BEN+vo_#_PRES
marakkosugave mara(N1)+kkosuga_#_BEN+ve_#_IMPH
marakkosugave mara(N1)+kkosuga_#_BEN+ve_#_DECL
marakkosugave mara(N1)+kkosuga_#_BEN+ve_#_RIS
marakkosugavA mara(N1)+kkosuga_#_PUR+vA_#_INTR
marakkosugavU mara(N1)+kkosuga_#_PUR+vU_#_INCL
marakkosugavo mara(N1)+kkosuga_#_PUR+vo_#_DUB
marakkosugavo mara(N1)+kkosuga_#_PUR+vo_#_INDF
marakkosugavo mara(N1)+kkosuga_#_PUR+vo_#_PRES
marakkosugave mara(N1)+kkosuga_#_PUR+ve_#_IMPH
marakkosugave mara(N1)+kkosuga_#_PUR+ve_#_DECL
marakkosugave mara(N1)+kkosuga_#_PUR+ve_#_RIS
marakkiMwalA mara(N1)+kkiMwa_#_COMP+lA_#_INTR
marakkiMwalU mara(N1)+kkiMwa_#_COMP+lU_#_INCL
marakkiMwalo mara(N1)+kkiMwa_#_COMP+lo_#_DUB
marakkiMwalo mara(N1)+kkiMwa_#_COMP+lo_#_INDF
marakkiMwalo mara(N1)+kkiMwa_#_COMP+lo_#_PRES
marakkiMwale mara(N1)+kkiMwa_#_COMP+le_#_IMPH
marakkiMwale mara(N1)+kkiMwa_#_COMP+le_#_DECL
marakkiMwale mara(N1)+kkiMwa_#_COMP+le_#_RIS
maraxaMweVyA mara(N1)+xaMweV_#_SIM+yA_#_INTR
maraxaMweVyU mara(N1)+xaMweV_#_SIM+yU_#_INCL
maraxaMweVyo mara(N1)+xaMweV_#_SIM+yo_#_DUB
maraxaMweVyo mara(N1)+xaMweV_#_SIM+yo_#_INDF
maraxaMweVyo mara(N1)+xaMweV_#_SIM+yo_#_PRES
maraxaMweVye mara(N1)+xaMweV_#_SIM+ye_#_IMPH
maraxaMweVye mara(N1)+xaMweV_#_SIM+ye_#_DECL
maraxaMweVye mara(N1)+xaMweV_#_SIM+ye_#_RIS
maraxoVdaneVyA mara(N1)+xoVdaneV_#_SOC+yA_#_INTR
maraxoVdaneVyU mara(N1)+xoVdaneV_#_SOC+yU_#_INCL
maraxoVdaneVyo mara(N1)+xoVdaneV_#_SOC+yo_#_DUB
maraxoVdaneVyo mara(N1)+xoVdaneV_#_SOC+yo_#_INDF
maraxoVdaneVyo mara(N1)+xoVdaneV_#_SOC+yo_#_PRES
maraxoVdaneVye mara(N1)+xoVdaneV_#_SOC+ye_#_IMPH
maraxoVdaneVye mara(N1)+xoVdaneV_#_SOC+ye_#_DECL
maraxoVdaneVye mara(N1)+xoVdaneV_#_SOC+ye_#_RIS
maraxoVMxigeVyA mara(N1)+xoVMxigeV_#_SOC+yA_#_INTR
maraxoVMxigeVyU mara(N1)+xoVMxigeV_#_SOC+yU_#_INCL
maraxoVMxigeVyo mara(N1)+xoVMxigeV_#_SOC+yo_#_DUB
maraxoVMxigeVyo mara(N1)+xoVMxigeV_#_SOC+yo_#_INDF
maraxoVMxigeVyo mara(N1)+xoVMxigeV_#_SOC+yo_#_PRES
maraxoVMxigeVye mara(N1)+xoVMxigeV_#_SOC+ye_#_IMPH
maraxoVMxigeVye mara(N1)+xoVMxigeV_#_SOC+ye_#_DECL
maraxoVMxigeVye mara(N1)+xoVMxigeV_#_SOC+ye_#_RIS
maragalYigoskaravA mara(N1)+galYu_#_BEN+lYigoskaravA_lYu_INTR
maragalYigoskaravU mara(N1)+galYu_#_BEN+lYigoskaravU_lYu_INCL
maragalYigoskaravo mara(N1)+galYu_#_BEN+lYigoskaravo_lYu_DUB
maragalYigoskaravo mara(N1)+galYu_#_BEN+lYigoskaravo_lYu_INDF
maragalYigoskaravo mara(N1)+galYu_#_BEN+lYigoskaravo_lYu_PRES
maragalYigoskarave mara(N1)+galYu_#_BEN+lYigoskarave_lYu_IMPH
maragalYigoskarave mara(N1)+galYu_#_BEN+lYigoskarave_lYu_DECL
maragalYigoskarave mara(N1)+galYu_#_BEN+lYigoskarave_lYu_RIS
maragalYigoskaravA mara(N1)+galYu_#_PUR+lYigoskaravA_lYu_INTR
maragalYigoskaravU mara(N1)+galYu_#_PUR+lYigoskaravU_lYu_INCL
maragalYigoskaravo mara(N1)+galYu_#_PUR+lYigoskaravo_lYu_DUB
maragalYigoskaravo mara(N1)+galYu_#_PUR+lYigoskaravo_lYu_INDF
maragalYigoskaravo mara(N1)+galYu_#_PUR+lYigoskaravo_lYu_PRES
maragalYigoskarave mara(N1)+galYu_#_PUR+lYigoskarave_lYu_IMPH
maragalYigoskarave mara(N1)+galYu_#_PUR+lYigoskarave_lYu_DECL
maragalYigoskarave mara(N1)+galYu_#_PUR+lYigoskarave_lYu_RIS
maragalYigAgiyA mara(N1)+galYu_#_BEN+lYigAgiyA_lYu_INTR
maragalYigAgiyU mara(N1)+galYu_#_BEN+lYigAgiyU_lYu_INCL
maragalYigAgiyo mara(N1)+galYu_#_BEN+lYigAgiyo_lYu_DUB
maragalYigAgiyo mara(N1)+galYu_#_BEN+lYigAgiyo_lYu_INDF
maragalYigAgiyo mara(N1)+galYu_#_BEN+lYigAgiyo_lYu_PRES
maragalYigAgiye mara(N1)+galYu_#_BEN+lYigAgiye_lYu_IMPH
maragalYigAgiye mara(N1)+galYu_#_BEN+lYigAgiye_lYu_DECL
maragalYigAgiye mara(N1)+galYu_#_BEN+lYigAgiye_lYu_RIS
maragalYigAgiyA mara(N1)+galYu_#_PUR+lYigAgiyA_lYu_INTR
maragalYigAgiyU mara(N1)+galYu_#_PUR+lYigAgiyU_lYu_INCL
maragalYigAgiyo mara(N1)+galYu_#_PUR+lYigAgiyo_lYu_DUB
maragalYigAgiyo mara(N1)+galYu_#_PUR+lYigAgiyo_lYu_INDF
maragalYigAgiyo mara(N1)+galYu_#_PUR+lYigAgiyo_lYu_PRES
maragalYigAgiye mara(N1)+galYu_#_PUR+lYigAgiye_lYu_IMPH
maragalYigAgiye mara(N1)+galYu_#_PUR+lYigAgiye_lYu_DECL
maragalYigAgiye mara(N1)+galYu_#_PUR+lYigAgiye_lYu_RIS
maragalYigosugavA mara(N1)+galYu_#_BEN+lYigosugavA_lYu_INTR
maragalYigosugavU mara(N1)+galYu_#_BEN+lYigosugavU_lYu_INCL
maragalYigosugavo mara(N1)+galYu_#_BEN+lYigosugavo_lYu_DUB
maragalYigosugavo mara(N1)+galYu_#_BEN+lYigosugavo_lYu_INDF
maragalYigosugavo mara(N1)+galYu_#_BEN+lYigosugavo_lYu_PRES
maragalYigosugave mara(N1)+galYu_#_BEN+lYigosugave_lYu_IMPH
maragalYigosugave mara(N1)+galYu_#_BEN+lYigosugave_lYu_DECL
maragalYigosugave mara(N1)+galYu_#_BEN+lYigosugave_lYu_RIS
maragalYigosugavA mara(N1)+galYu_#_PUR+lYigosugavA_lYu_INTR
maragalYigosugavU mara(N1)+galYu_#_PUR+lYigosugavU_lYu_INCL
maragalYigosugavo mara(N1)+galYu_#_PUR+lYigosugavo_lYu_DUB
maragalYigosugavo mara(N1)+galYu_#_PUR+lYigosugavo_lYu_INDF
maragalYigosugavo mara(N1)+galYu_#_PUR+lYigosugavo_lYu_PRES
maragalYigosugave mara(N1)+galYu_#_PUR+lYigosugave_lYu_IMPH
maragalYigosugave mara(N1)+galYu_#_PUR+lYigosugave_lYu_DECL
maragalYigosugave mara(N1)+galYu_#_PUR+lYigosugave_lYu_RIS
maragalYigiMwalA mara(N1)+galYu_#_COMP+lYigiMwalA_lYu_INTR
maragalYigiMwalU mara(N1)+galYu_#_COMP+lYigiMwalU_lYu_INCL
maragalYigiMwalo mara(N1)+galYu_#_COMP+lYigiMwalo_lYu_DUB
maragalYigiMwalo mara(N1)+galYu_#_COMP+lYigiMwalo_lYu_INDF
maragalYigiMwalo mara(N1)+galYu_#_COMP+lYigiMwalo_lYu_PRES
maragalYigiMwale mara(N1)+galYu_#_COMP+lYigiMwale_lYu_IMPH
maragalYigiMwale mara(N1)+galYu_#_COMP+lYigiMwale_lYu_DECL
maragalYigiMwale mara(N1)+galYu_#_COMP+lYigiMwale_lYu_RIS
maragalYaMweVyA mara(N1)+galYu_#_SIM+lYaMweVyA_lYu_INTR
maragalYaMweVyU mara(N1)+galYu_#_SIM+lYaMweVyU_lYu_INCL
maragalYaMweVyo mara(N1)+galYu_#_SIM+lYaMweVyo_lYu_DUB
maragalYaMweVyo mara(N1)+galYu_#_SIM+lYaMweVyo_lYu_INDF
maragalYaMweVyo mara(N1)+galYu_#_SIM+lYaMweVyo_lYu_PRES
maragalYaMweVye mara(N1)+galYu_#_SIM+lYaMweVye_lYu_IMPH
maragalYaMweVye mara(N1)+galYu_#_SIM+lYaMweVye_lYu_DECL
maragalYaMweVye mara(N1)+galYu_#_SIM+lYaMweVye_lYu_RIS
maragalYoVdaneVyA mara(N1)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
maragalYoVdaneVyU mara(N1)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
maragalYoVdaneVyo mara(N1)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
maragalYoVdaneVyo mara(N1)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
maragalYoVdaneVyo mara(N1)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
maragalYoVdaneVye mara(N1)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
maragalYoVdaneVye mara(N1)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
maragalYoVdaneVye mara(N1)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
maragalYoVMxigeVyA mara(N1)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
maragalYoVMxigeVyU mara(N1)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
maragalYoVMxigeVyo mara(N1)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
maragalYoVMxigeVyo mara(N1)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
maragalYoVMxigeVyo mara(N1)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
maragalYoVMxigeVye mara(N1)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
maragalYoVMxigeVye mara(N1)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
maragalYoVMxigeVye mara(N1)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


