garudagalYigAgiyo garuda(N6)+galYu_#_BEN+lYigAgiyo_lYu_PRES
garudagalYigAgiye garuda(N6)+galYu_#_BEN+lYigAgiye_lYu_IMPH
garudagalYigAgiye garuda(N6)+galYu_#_BEN+lYigAgiye_lYu_DECL
garudagalYigAgiye garuda(N6)+galYu_#_BEN+lYigAgiye_lYu_RIS
garudagalYigAgiyA garuda(N6)+galYu_#_PUR+lYigAgiyA_lYu_INTR
garudagalYigAgiyU garuda(N6)+galYu_#_PUR+lYigAgiyU_lYu_INCL
garudagalYigAgiyo garuda(N6)+galYu_#_PUR+lYigAgiyo_lYu_DUB
garudagalYigAgiyo garuda(N6)+galYu_#_PUR+lYigAgiyo_lYu_INDF
garudagalYigAgiyo garuda(N6)+galYu_#_PUR+lYigAgiyo_lYu_PRES
garudagalYigAgiye garuda(N6)+galYu_#_PUR+lYigAgiye_lYu_IMPH
garudagalYigAgiye garuda(N6)+galYu_#_PUR+lYigAgiye_lYu_DECL
garudagalYigAgiye garuda(N6)+galYu_#_PUR+lYigAgiye_lYu_RIS
garudagalYigosugavA garuda(N6)+galYu_#_BEN+lYigosugavA_lYu_INTR
garudagalYigosugavU garuda(N6)+galYu_#_BEN+lYigosugavU_lYu_INCL
garudagalYigosugavo garuda(N6)+galYu_#_BEN+lYigosugavo_lYu_DUB
garudagalYigosugavo garuda(N6)+galYu_#_BEN+lYigosugavo_lYu_INDF
garudagalYigosugavo garuda(N6)+galYu_#_BEN+lYigosugavo_lYu_PRES
garudagalYigosugave garuda(N6)+galYu_#_BEN+lYigosugave_lYu_IMPH
garudagalYigosugave garuda(N6)+galYu_#_BEN+lYigosugave_lYu_DECL
garudagalYigosugave garuda(N6)+galYu_#_BEN+lYigosugave_lYu_RIS
garudagalYigosugavA garuda(N6)+galYu_#_PUR+lYigosugavA_lYu_INTR
garudagalYigosugavU garuda(N6)+galYu_#_PUR+lYigosugavU_lYu_INCL
garudagalYigosugavo garuda(N6)+galYu_#_PUR+lYigosugavo_lYu_DUB
garudagalYigosugavo garuda(N6)+galYu_#_PUR+lYigosugavo_lYu_INDF
garudagalYigosugavo garuda(N6)+galYu_#_PUR+lYigosugavo_lYu_PRES
garudagalYigosugave garuda(N6)+galYu_#_PUR+lYigosugave_lYu_IMPH
garudagalYigosugave garuda(N6)+galYu_#_PUR+lYigosugave_lYu_DECL
garudagalYigosugave garuda(N6)+galYu_#_PUR+lYigosugave_lYu_RIS
garudagalYigiMwalA garuda(N6)+galYu_#_COMP+lYigiMwalA_lYu_INTR
garudagalYigiMwalU garuda(N6)+galYu_#_COMP+lYigiMwalU_lYu_INCL
garudagalYigiMwalo garuda(N6)+galYu_#_COMP+lYigiMwalo_lYu_DUB
garudagalYigiMwalo garuda(N6)+galYu_#_COMP+lYigiMwalo_lYu_INDF
garudagalYigiMwalo garuda(N6)+galYu_#_COMP+lYigiMwalo_lYu_PRES
garudagalYigiMwale garuda(N6)+galYu_#_COMP+lYigiMwale_lYu_IMPH
garudagalYigiMwale garuda(N6)+galYu_#_COMP+lYigiMwale_lYu_DECL
garudagalYigiMwale garuda(N6)+galYu_#_COMP+lYigiMwale_lYu_RIS
garudagalYaMweVyA garuda(N6)+galYu_#_SIM+lYaMweVyA_lYu_INTR
garudagalYaMweVyU garuda(N6)+galYu_#_SIM+lYaMweVyU_lYu_INCL
garudagalYaMweVyo garuda(N6)+galYu_#_SIM+lYaMweVyo_lYu_DUB
garudagalYaMweVyo garuda(N6)+galYu_#_SIM+lYaMweVyo_lYu_INDF
garudagalYaMweVyo garuda(N6)+galYu_#_SIM+lYaMweVyo_lYu_PRES
garudagalYaMweVye garuda(N6)+galYu_#_SIM+lYaMweVye_lYu_IMPH
garudagalYaMweVye garuda(N6)+galYu_#_SIM+lYaMweVye_lYu_DECL
garudagalYaMweVye garuda(N6)+galYu_#_SIM+lYaMweVye_lYu_RIS
garudagalYoVdaneVyA garuda(N6)+galYu_#_SOC+lYoVdaneVyA_lYu_INTR
garudagalYoVdaneVyU garuda(N6)+galYu_#_SOC+lYoVdaneVyU_lYu_INCL
garudagalYoVdaneVyo garuda(N6)+galYu_#_SOC+lYoVdaneVyo_lYu_DUB
garudagalYoVdaneVyo garuda(N6)+galYu_#_SOC+lYoVdaneVyo_lYu_INDF
garudagalYoVdaneVyo garuda(N6)+galYu_#_SOC+lYoVdaneVyo_lYu_PRES
garudagalYoVdaneVye garuda(N6)+galYu_#_SOC+lYoVdaneVye_lYu_IMPH
garudagalYoVdaneVye garuda(N6)+galYu_#_SOC+lYoVdaneVye_lYu_DECL
garudagalYoVdaneVye garuda(N6)+galYu_#_SOC+lYoVdaneVye_lYu_RIS
garudagalYoVMxigeVyA garuda(N6)+galYu_#_SOC+lYoVMxigeVyA_lYu_INTR
garudagalYoVMxigeVyU garuda(N6)+galYu_#_SOC+lYoVMxigeVyU_lYu_INCL
garudagalYoVMxigeVyo garuda(N6)+galYu_#_SOC+lYoVMxigeVyo_lYu_DUB
garudagalYoVMxigeVyo garuda(N6)+galYu_#_SOC+lYoVMxigeVyo_lYu_INDF
garudagalYoVMxigeVyo garuda(N6)+galYu_#_SOC+lYoVMxigeVyo_lYu_PRES
garudagalYoVMxigeVye garuda(N6)+galYu_#_SOC+lYoVMxigeVye_lYu_IMPH
garudagalYoVMxigeVye garuda(N6)+galYu_#_SOC+lYoVMxigeVye_lYu_DECL
garudagalYoVMxigeVye garuda(N6)+galYu_#_SOC+lYoVMxigeVye_lYu_RIS


