hoVralpattIwu hoVru(V3)+alpadu_u_FUTDUB+ttIwu_du_3SN
hoVralpattAvu hoVru(V3)+alpadu_u_FUTDUB+ttAvu_du_3PN
hoVralpadabeku hoVru(V3)+alpada_u_#_AVY+beku_#_FUTIMP
hoVralpadabAraxu hoVru(V3)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
hoVralpadakUdaxu hoVru(V3)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
hoVralpadali hoVru(V3)+alpadu_u_FUTOPT+dali_du_3SN
hoVralpadali hoVru(V3)+alpadu_u_FUTOPT+dali_du_3PN
hoVralpadaballa hoVru(V3)+alpada_u_#_AVY+balla_#_FUTCAP
hoVralpadaballaxu hoVru(V3)+alpada_u_#_AVY+ballaxu_#_FUTCAP
hoVralpadaballavu hoVru(V3)+alpada_u_#_AVY+ballavu_#_FUTCAP
hoVralpadabahuxu hoVru(V3)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3SN
hoVralpadabahuxu hoVru(V3)+alpada_u_#_AVY+bahuxu_#_FUTPOTEN_#_3PN
hoVralpadabeku hoVru(V3)+alpada_u_#_AVY+beku_#_FUTCOMP
hoVralpadalebeku hoVru(V3)+alpada_u_#_AVY+lebeku_#_FUTCOMP
hoVralpadalAraxu hoVru(V3)+alpadu_u_FUTNEG+alAraxu_u_3SN
hoVralpadalAravu hoVru(V3)+alpadu_u_FUTNEG+alAravu_u_3PN
hoVralpadalAraxa hoVru(V3)+alpadu_u_NEG+alAraxa_u_3SN
hoVralpattarU hoVru(V3)+alpadu_u_FUTCOND+ttarU_du_NFV
hoVralpaduwwa hoVru(V3)+alpadu_u_PRESCONT+uwwa_u_NFV
hoVralpatta hoVru(V3)+alpadu_u_RP+tta_du_PAST
hoVralpadaxeV hoVru(V3)+alpadu_u_NEG+axeV_u_NFV	

hoVralpadaxa hoVru(V3)+alpadu_u_NEG+axa_u_NFV
hoVralpattu hoVru(V3)+alpadu_u_PAST+pattu_padu_NFV
hoVralpaduva hoVru(V3)+alpadu_u_FUT+va_#_RP
hoVralpadalu hoVru(V3)+alpadu_u_INFN+alu_u_FUTINCH
