winnalpaduvuvu winnu(V15)+alpadu_u_FUT+vuvu_#_3PN
winnalpadanu winnu(V15)+alpadu_u_FUTNEG+danu_du_3SM
winnalpadalYu winnu(V15)+alpadu_u_FUTNEG+dalYu_du_3SF
winnalpadaru winnu(V15)+alpadu_u_FUTNEG+daru_du_3P
winnalpadaru winnu(V15)+alpadu_u_FUTNEG+daru_du_3SH
winnalpadaxu winnu(V15)+alpadu_u_FUTNEG+daxu_du_3SN
winnalpadavu winnu(V15)+alpadu_u_FUTNEG+davu_du_3PN
winnalpattAnu winnu(V15)+alpadu_u_FUTDUB+ttAnu_du_3SM
winnalpattAlYu winnu(V15)+alpadu_u_FUTDUB+ttAlYu_du_3PF
winnalpattAru winnu(V15)+alpadu_u_FUTDUB+ttAru_du_3P
winnalpattAru winnu(V15)+alpadu_u_FUTDUB+ttAru_du_3SH
winnalpattIwu winnu(V15)+alpadu_u_FUTDUB+ttIwu_du_3SN
winnalpattAvu winnu(V15)+alpadu_u_FUTDUB+ttAvu_du_3PN
winnalpadabeku winnu(V15)+alpada_u_#_AVY+beku_#_FUTIMP
winnalpadabAraxu winnu(V15)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
winnalpadakUdaxu winnu(V15)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
winnalpadali winnu(V15)+alpadu_u_FUTOPT+dali_du_3SN
winnalpadali winnu(V15)+alpadu_u_FUTOPT+dali_du_3PN
winnalpadaballa winnu(V15)+alpada_u_AVY+balla_#_FUTCAP
winnalpadaballaxu winnu(V15)+alpada_u_AVY+ballaxu_#_FUTCAP
winnalpadaballavu winnu(V15)+alpada_u_AVY+ballavu_#_FUTCAP
winnalpadabahuxu winnu(V15)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
winnalpadabahuxu winnu(V15)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
winnalpadabeku winnu(V15)+alpada_u_AVY+beku_#_FUTCOMP
winnalpadalebeku winnu(V15)+alpada_u_AVY+lebeku_#_FUTCOMP
winnalpadalAraxu winnu(V15)+alpadu_u_FUTNEG+alAraxu_u_3SN
winnalpadalAravu winnu(V15)+alpadu_u_FUTNEG+alAravu_u_3PN
winnalpadalAraxa winnu(V15)+alpadu_u_NEG+alAraxa_u_3SN
winnalpattarU winnu(V15)+alpadu_u_FUTCOND+ttarU_du_NFV
winnalpaduwwa winnu(V15)+alpadu_u_PRESCONT+uwwa_u_NFV
winnalpatta winnu(V15)+alpadu_u_RP+tta_du_PAST
winnalpadaxeV winnu(V15)+alpadu_u_NEG+axeV_u_NFV	
winnalpadaxa winnu(V15)+alpadu_u_NEG+axa_u_NFV
winnalpattu winnu(V15)+alpadu_u_PAST+pattu_padu_NFV
winnalpaduva winnu(V15)+alpadu_u_FUT+va_#_RP
winnalpadalu winnu(V15)+alpadu_u_INFN+alu_u_FUTINCH
winnalpadalikkeV winnu(V15)+alpadu_u_INFN+alikkeV_u_FUTINCH
winnalpattareV winnu(V15)+alpadu_u_FUTCOND+pattareV_padu_NFV
winnalpattalli winnu(V15)+alpadu_u_FUTCOND+pattalli_padu_NFV
winnalpaduwwiruva winnu(V15)+alpadu_u_AUX+uwwiruva_u_RP
winnalpaduwwixMxa winnu(V15)+alpadu_u_AUX+uwwixMxa_u_RP
winnalpaduwwaliruva winnu(V15)+alpadu_u_AUX+uwwaliruva_u_RP
winnalpaduwwirabekaxa winnu(V15)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
wixanA winnu(V15)+xanA_nnu_INTR
