nillaballavu nillu(V4)+a_u_AVY+ballavu_#_3PN
nilluwwixxAneV nillu(V4)+Mwa_#_AUX+wwixxAneV_Mwa_3SM
nilluwwixxAlYeV nillu(V4)+Mwa_#_AUX+wwixxAlYeV_Mwa_3FM
nilluwwixxAreV nillu(V4)+Mwa_#_AUX+wwixxAreV_Mwa_3FM
nilluwwixeV nillu(V4)+Mwa_#_AUX+wwixeV_Mwa_3SN
nilluwwiveV nillu(V4)+Mwa_#_AUX+wwiveV_Mwa_3PN

nillalpattanu nillu(V4)+alpadu_u_PAST+pattanu_padu_3SM
nillalpattalYu nillu(V4)+alpadu_u_PAST+pattalYu_padu_3SF
nillalpatta nillu(V4)+alpadu_u_PAST+patta_padu_3P
nillalpatta nillu(V4)+alpadu_u_PAST+patta_padu_3SH
nillalpattiwu nillu(V4)+alpadu_u_PAST+pattiwu_padu_3SN
nillalpattavu nillu(V4)+alpadu_u_PAST+pattavu_padu_3PN
nillalpaduwwaxeV nillu(V4)+alpadu_u_FUT+duwwaxeV_du_3SN
nillalpaduwwaveV nillu(V4)+alpadu_u_FUT+duwwaveV_du_3PN
nillalpaduvuxu nillu(V4)+alpadu_u_FUT+vuxu_#_3SN
nillalpaduvuvu nillu(V4)+alpadu_u_FUT+vuvu_#_3PN
nillalpadanu nillu(V4)+alpadu_u_FUTNEG+danu_du_3SM
nillalpadalYu nillu(V4)+alpadu_u_FUTNEG+dalYu_du_3SF
nillalpada nillu(V4)+alpadu_u_FUTNEG+da_du_3P
nillalpada nillu(V4)+alpadu_u_FUTNEG+da_du_3SH
nillalpadaxu nillu(V4)+alpadu_u_FUTNEG+daxu_du_3SN
nillalpadavu nillu(V4)+alpadu_u_FUTNEG+davu_du_3PN
nillalpattAnu nillu(V4)+alpadu_u_FUTDUB+ttAnu_du_3SM
nillalpattAlYu nillu(V4)+alpadu_u_FUTDUB+ttAlYu_du_3PF
nillalpattA nillu(V4)+alpadu_u_FUTDUB+ttA_du_3P
nillalpattA nillu(V4)+alpadu_u_FUTDUB+ttA_du_3SH
nillalpattIwu nillu(V4)+alpadu_u_FUTDUB+ttIwu_du_3SN
nillalpattAvu nillu(V4)+alpadu_u_FUTDUB+ttAvu_du_3PN
nillalpadabeku nillu(V4)+alpada_u_#_AVY+beku_#_FUTIMP
nillalpadabAraxu nillu(V4)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
nillalpadakUdaxu nillu(V4)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
nillalpadali nillu(V4)+alpadu_u_FUTOPT+dali_du_3SN
nillalpadali nillu(V4)+alpadu_u_FUTOPT+dali_du_3PN
nillalpadaballa nillu(V4)+alpada_u_#_AVY+balla_#_FUTCAP
nillalpadaballaxu nillu(V4)+alpada_u_#_AVY+ballaxu_#_FUTCAP
nillalpadaballavu nillu(V4)+alpada_u_#_AVY+ballavu_#_FUTCAP
