iralpadalYu iru(V8)+alpadu_u_FUTNEG+dalYu_du_3SF
iralpadaru iru(V8)+alpadu_u_FUTNEG+daru_du_3P
iralpadaru iru(V8)+alpadu_u_FUTNEG+daru_du_3SH
iralpadaxu iru(V8)+alpadu_u_FUTNEG+daxu_du_3SN
iralpadavu iru(V8)+alpadu_u_FUTNEG+davu_du_3PN
iralpattAnu iru(V8)+alpadu_u_FUTDUB+ttAnu_du_3SM
iralpattAlYu iru(V8)+alpadu_u_FUTDUB+ttAlYu_du_3PF
iralpattAru iru(V8)+alpadu_u_FUTDUB+ttAru_du_3P
iralpattAru iru(V8)+alpadu_u_FUTDUB+ttAru_du_3SH
iralpattIwu iru(V8)+alpadu_u_FUTDUB+ttIwu_du_3SN
iralpattAvu iru(V8)+alpadu_u_FUTDUB+ttAvu_du_3PN
iralpadabeku iru(V8)+alpada_u_#_AVY+beku_#_FUTIMP
iralpadabAraxu iru(V8)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
iralpadakUdaxu iru(V8)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
iralpadali iru(V8)+alpadu_u_FUTOPT+dali_du_3SN
iralpadali iru(V8)+alpadu_u_FUTOPT+dali_du_3PN
iralpadaballa iru(V8)+alpada_u_AVY+balla_#_FUTCAP
iralpadaballaxu iru(V8)+alpada_u_AVY+ballaxu_#_FUTCAP
iralpadaballavu iru(V8)+alpada_u_AVY+ballavu_#_FUTCAP
iralpadabahuxu iru(V8)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
iralpadabahuxu iru(V8)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
iralpadabeku iru(V8)+alpada_u_AVY+beku_#_FUTCOMP
iralpadalebeku iru(V8)+alpada_u_AVY+lebeku_#_FUTCOMP
iralpadalAraxu iru(V8)+alpadu_u_FUTNEG+alAraxu_u_3SN
iralpadalAravu iru(V8)+alpadu_u_FUTNEG+alAravu_u_3PN
iralpadalAraxa iru(V8)+alpadu_u_NEG+alAraxa_u_3SN
iralpattarU iru(V8)+alpadu_u_FUTCOND+ttarU_du_NFV
iralpaduwwa iru(V8)+alpadu_u_PRESCONT+uwwa_u_NFV
iralpatta iru(V8)+alpadu_u_RP+tta_du_PAST
iralpadaxeV iru(V8)+alpadu_u_NEG+axeV_u_NFV	
iralpadaxa iru(V8)+alpadu_u_NEG+axa_u_NFV
iralpattu iru(V8)+alpadu_u_PAST+pattu_padu_NFV
iralpaduva iru(V8)+alpadu_u_FUT+va_#_RP
iralpadalu iru(V8)+alpadu_u_INFN+alu_u_FUTINCH
iralpadalikkeV iru(V8)+alpadu_u_INFN+alikkeV_u_FUTINCH
iralpattareV iru(V8)+alpadu_u_FUTCOND+pattareV_padu_NFV
iralpattalli iru(V8)+alpadu_u_FUTCOND+pattalli_padu_NFV
iralpaduwwiruva iru(V8)+alpadu_u_AUX+uwwiruva_u_RP
iralpaduwwixxa iru(V8)+alpadu_u_AUX+uwwixxa_u_RP
iralpaduwwaliruva iru(V8)+alpadu_u_AUX+uwwaliruva_u_RP
iralpaduwwirabekixxa iru(V8)+alpadu_u_AUX+uwwiru_u_AVY+abekixxa_u_3SN
ixxanA iru(V8)+xxanA_ru_INTR
ixxalYA iru(V8)+xxalYA_ru_INTR
ixxiwA iru(V8)+xxiwA_ru_INTR
ixxarA iru(V8)+xxarA_ru_INTR
ixxavA iru(V8)+xxavA_ru_INTR
iruwwAnA iru(V8)+uwwAnA_u_INTR
iruwwAlYA iru(V8)+uwwAlYA_u_INTR
iruwwaxA iru(V8)+uwwaxA_u_INTR
iruvanA iru(V8)+vanA_#_INTR
iruvalYA iru(V8)+valYA_#_INTR
iruvuxA iru(V8)+vuxA_#_INTR
iruvarA iru(V8)+varA_#_INTR
iruvuvA iru(V8)+vuvA_#_INTR
iruwwiyA iru(V8)+uwwiyA_u_INTR
iruwwiriyA iru(V8)+uwwiriyA_u_INTR
iruwwIrA iru(V8)+uwwIrA_u_INTR
iruviyA iru(V8)+viyA_#_INTR
iruvirA iru(V8)+virA_#_INTR
iruvuxA iru(V8)+vuxA_#_INTR
iralA iru(V8)+alA_u_INTR
iralikkA iru(V8)+alikkA_u_INTR
irokA iru(V8)+okA_u_INTR
irabekA iru(V8)+abekA_u_INTR
irakUdaxA iru(V8)+akUdaxA_u_INTR
irabAraxA iru(V8)+abAraxA_u_INTR
iranA iru(V8)+anA_u_INTR
iralYA iru(V8)+alYA_u_INTR
iraxA iru(V8)+axA_u_INTR
irarA iru(V8)+arA_u_INTR
iravA iru(V8)+avA_u_INTR
iralAreVvA iru(V8)+alAreVvA_u_INTR
iralAreVnA iru(V8)+alAreVnA_u_INTR
iralAririyA iru(V8)+alAririyA_u_INTR
iralAranA iru(V8)+alAranA_u_INTR
iralAralYA iru(V8)+alAralYA_u_INTR
iralAraxA iru(V8)+alAraxA_u_INTR
iralArarA iru(V8)+alArarA_u_INTR
iralAravA iru(V8)+alAravA_u_INTR
iraballanA iru(V8)+aballanA_u_INTR
iraballalYA iru(V8)+aballalYA_u_INTR
iraballaxA iru(V8)+aballaxA_u_INTR
iraballarA iru(V8)+aballarA_u_INTR
iraballavA iru(V8)+aballavA_u_INTR
