uNNaliruvNNu uNNu(V30)+alu_u_AUX+liruvNNu_lu_3SM
uNNaliruvalYu uNNu(V30)+alu_u_AUX+liruvalYu_lu_3SF
uNNaliruvaru uNNu(V30)+alu_u_AUX+liruvaru_lu_3P
uNNaliruvaxu uNNu(V30)+alu_u_AUX+liruvaxu_lu_3SN
uNNaliruvavu uNNu(V30)+alu_u_AUX+liruvavu_lu_3PN
uNNaballavanu uNNu(V30)+a_u_AVY+ballavanu_#_3SM
uNNaballavalYu uNNu(V30)+a_u_#_AVY+ballavalYu_#_3SF
uNNaballavaru uNNu(V30)+a_u_AVY+ballavaru_#_3P
uNNaballaxu uNNu(V30)+a_u_AVY+ballaxu_#_3SN
uNNaballavu uNNu(V30)+a_u_AVY+ballavu_#_3PN
uNNuwwixxAneV uNNu(V30)+uwwa_u_AUX+wwixxAneV_wwa_3SM
uNNuwwixxAlYeV uNNu(V30)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
uNNuwwixxAreV uNNu(V30)+uwwa_u_AUX+wwixxAreV_wwa_3P
uNNuwwixeV uNNu(V30)+uwwa_u_AUX+wwixeV_wwa_3SN
uNNuwwiveV uNNu(V30)+uwwa_u_AUX+wwiveV_wwa_3PN
uNNalpattanu uNNu(V30)+alpadu_u_PAST+pattanu_padu_3SM
uNNalpattalYu uNNu(V30)+alpadu_u_PAST+pattalYu_padu_3SF
uNNalpattaru uNNu(V30)+alpadu_u_PAST+pattaru_padu_3P
uNNalpattaru uNNu(V30)+alpadu_u_PAST+pattaru_padu_3SH
uNNalpattiwu uNNu(V30)+alpadu_u_PAST+pattiwu_padu_3SN
uNNalpattavu uNNu(V30)+alpadu_u_PAST+pattavu_padu_3PN
uNNalpaduwwaxeV uNNu(V30)+alpadu_u_FUT+duwwaxeV_du_3SN
uNNalpaduwwaveV uNNu(V30)+alpadu_u_FUT+duwwaveV_du_3PN
uNNalpaduvuxu uNNu(V30)+alpadu_u_FUT+vuxu_#_3SN
uNNalpaduvuvu uNNu(V30)+alpadu_u_FUT+vuvu_#_3PN
uNNalpadanu uNNu(V30)+alpadu_u_FUTNEG+danu_du_3SM
uNNalpadalYu uNNu(V30)+alpadu_u_FUTNEG+dalYu_du_3SF
uNNalpadaru uNNu(V30)+alpadu_u_FUTNEG+daru_du_3P
uNNalpadaru uNNu(V30)+alpadu_u_FUTNEG+daru_du_3SH
uNNalpadaxu uNNu(V30)+alpadu_u_FUTNEG+daxu_du_3SN
uNNalpadavu uNNu(V30)+alpadu_u_FUTNEG+davu_du_3PN
uNNalpattNNu uNNu(V30)+alpadu_u_FUTDUB+ttNNu_du_3SM
uNNalpattAlYu uNNu(V30)+alpadu_u_FUTDUB+ttAlYu_du_3PF
uNNalpattAru uNNu(V30)+alpadu_u_FUTDUB+ttAru_du_3P
uNNalpattAru uNNu(V30)+alpadu_u_FUTDUB+ttAru_du_3SH
uNNalpattIwu uNNu(V30)+alpadu_u_FUTDUB+ttIwu_du_3SN
uNNalpattAvu uNNu(V30)+alpadu_u_FUTDUB+ttAvu_du_3PN
uNNalpadabeku uNNu(V30)+alpada_u_#_AVY+beku_#_FUTIMP
uNNalpadauNNaxu uNNu(V30)+alpada_u_#_AVY+uNNaxu_#_NEGIMPR
uNNalpadakUdaxu uNNu(V30)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
uNNalpadali uNNu(V30)+alpadu_u_FUTOPT+dali_du_3SN
uNNalpadali uNNu(V30)+alpadu_u_FUTOPT+dali_du_3PN
uNNalpadauNNa uNNu(V30)+alpada_u_AVY+uNNa_#_FUTCAP
uNNalpadauNNaxu uNNu(V30)+alpada_u_AVY+uNNaxu_#_FUTCAP
uNNalpadauNNavu uNNu(V30)+alpada_u_AVY+uNNavu_#_FUTCAP
uNNalpadabahuxu uNNu(V30)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
uNNalpadabahuxu uNNu(V30)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
uNNalpadabeku uNNu(V30)+alpada_u_AVY+beku_#_FUTCOMP
uNNalpadalebeku uNNu(V30)+alpada_u_AVY+lebeku_#_FUTCOMP
uNNalpadalAraxu uNNu(V30)+alpadu_u_FUTNEG+alAraxu_u_3SN
uNNalpadalAravu uNNu(V30)+alpadu_u_FUTNEG+alAravu_u_3PN
uNNalpadalAraxa uNNu(V30)+alpadu_u_NEG+alAraxa_u_3SN
uNNalpattarU uNNu(V30)+alpadu_u_FUTCOND+ttarU_du_NFV
uNNalpaduwwa uNNu(V30)+alpadu_u_PRESCONT+uwwa_u_NFV
uNNalpatta uNNu(V30)+alpadu_u_RP+tta_du_PAST
uNNalpadaxeV uNNu(V30)+alpadu_u_NEG+axeV_u_NFV	
uNNalpadaxa uNNu(V30)+alpadu_u_NEG+axa_u_NFV
uNNalpattu uNNu(V30)+alpadu_u_PAST+pattu_padu_NFV
uNNalpaduva uNNu(V30)+alpadu_u_FUT+va_#_RP
uNNalpadalu uNNu(V30)+alpadu_u_INFN+alu_u_FUTINCH
uNNalpadalikkeV uNNu(V30)+alpadu_u_INFN+alikkeV_u_FUTINCH
uNNalpattareV uNNu(V30)+alpadu_u_FUTCOND+pattareV_padu_NFV
uNNalpattalli uNNu(V30)+alpadu_u_FUTCOND+pattalli_padu_NFV
uNNalpaduwwiruva uNNu(V30)+alpadu_u_AUX+uwwiruva_u_RP
uNNalpaduwwixxa uNNu(V30)+alpadu_u_AUX+uwwixxa_u_RP
uNNalpaduwwaliruva uNNu(V30)+alpadu_u_AUX+uwwaliruva_u_RP
uNNalpaduwwirabekaxa uNNu(V30)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
uMdanA uNNu(V30)+MdanA_NNu_INTR
uMdalYA uNNu(V30)+MdalYA_NNu_INTR
uMdiwA uNNu(V30)+MdiwA_NNu_INTR
uMdarA uNNu(V30)+MdarA_NNu_INTR
uMdavA uNNu(V30)+MdavA_NNu_INTR
uNNuwwAnA uNNu(V30)+uwwAnA_u_INTR
uNNuwwAlYA uNNu(V30)+uwwAlYA_u_INTR
uNNuwwuMda uNNu(V30)+uwwuMda_u_INTR
uNNuvanA uNNu(V30)+vanA_#_INTR
uNNuvalYA uNNu(V30)+valYA_#_INTR
uNNuvuxa uNNu(V30)+vuxa_#_INTR
uNNuvarA uNNu(V30)+varA_#_INTR
uNNuvuvA uNNu(V30)+vuvA_#_INTR
uNNuwwiyA uNNu(V30)+uwwiyA_u_INTR
uNNuwwiriyA uNNu(V30)+uwwiriyA_u_INTR
uNNuwwIrA uNNu(V30)+uwwIrA_u_INTR
uNNuviyA uNNu(V30)+viyA_#_INTR
uNNuvirA uNNu(V30)+virA_#_INTR
uNNuvuxa uNNu(V30)+vuxa_#_INTR
uNNalA uNNu(V30)+alA_u_INTR
uNNalikkA uNNu(V30)+alikkA_u_INTR
uNNokA uNNu(V30)+okA_u_INTR
uNNabekA uNNu(V30)+abekA_u_INTR
uNNakUdaxA uNNu(V30)+akUdaxA_u_INTR
uNNaballaxa uNNu(V30)+aballaxa_u_INTR
uNNanA uNNu(V30)+anA_u_INTR
uNNalYA uNNu(V30)+alYA_u_INTR
uNNaxa uNNu(V30)+axa_u_INTR
uNNarA uNNu(V30)+arA_u_INTR
uNNavA uNNu(V30)+avA_u_INTR
uNNalAreVvA uNNu(V30)+alAreVvA_u_INTR
uNNalAreVnA uNNu(V30)+alAreVnA_u_INTR
uNNalAririyA uNNu(V30)+alAririyA_u_INTR
uNNalAranA uNNu(V30)+alAranA_u_INTR
uNNalAralYA uNNu(V30)+alAralYA_u_INTR
uNNalAraxa uNNu(V30)+alAraxa_u_INTR
uNNalArarA uNNu(V30)+alArarA_u_INTR
uNNalAravA uNNu(V30)+alAravA_u_INTR
uNNaballanA uNNu(V30)+aballanA_u_INTR
uNNaballalYA uNNu(V30)+aballalYA_u_INTR
uNNaballaxa uNNu(V30)+aballaxa_u_INTR
uNNaballarA uNNu(V30)+aballarA_u_INTR
uNNaballavA uNNu(V30)+aballavA_u_INTR
uNNabahuxa uNNu(V30)+abahuxa_u_INTR
uNNalebekA uNNu(V30)+alebekA_u_INTR
uNNalpattiwA uNNu(V30)+alpattiwA_u_INTR
uNNalpattavA uNNu(V30)+alpattavA_u_INTR
uNNalpaduwwaxa uNNu(V30)+alpaduwwaxa_u_INTR
uNNalpaduwwavA uNNu(V30)+alpaduwwavA_u_INTR
uNNalpaduvuMda uNNu(V30)+alpaduvuMda_u_INTR
uNNalpaduvuvA uNNu(V30)+alpaduvuvA_u_INTR
uNNalpadaxa uNNu(V30)+alpadaxa_u_INTR
uNNalpadavA uNNu(V30)+alpadavA_u_INTR
uNNalpadabekA uNNu(V30)+alpadabekA_u_INTR
uNNalpadauNNMda uNNu(V30)+alpadauNNMda_u_INTR
uNNalpadakUdaxa uNNu(V30)+alpadakUdaxa_u_INTR
uNNalpadabahuMda uNNu(V30)+alpadabahuMda_u_INTR
uNNalpadalebekA uNNu(V30)+alpadalebekA_u_INTR
uNNalpadalAraxa uNNu(V30)+alpadalAraxa_u_INTR
uNNalpadalAravA uNNu(V30)+alpadalAravA_u_INTR
uMdane uNNu(V30)+Mdane_NNu_INTR
uMdalYe uNNu(V30)+MdalYe_NNu_INTR
uNNuwwiwe uNNu(V30)+wwiwe_#_INTR
uMdare uNNu(V30)+Mdare_NNu_INTR
uMdave uNNu(V30)+Mdave_NNu_INTR
uNNuwwAnye uNNu(V30)+uwwAnye_u_INTR
uNNuwwAlYe uNNu(V30)+uwwAlYe_u_INTR
uNNuwwaxeVye uNNu(V30)+uwwaxeVye_u_INTR
uNNuvane uNNu(V30)+vane_#_INTR
uNNuvalYe uNNu(V30)+valYe_#_INTR
uNNuvuxe uNNu(V30)+vuxe_#_INTR
uNNuvare uNNu(V30)+vare_#_INTR
uNNuvuve uNNu(V30)+vuve_#_INTR
uNNuwwiriye uNNu(V30)+wwiriye_#_INTR
uNNuwwiye uNNu(V30)+uwwiye_u_INTR
uNNuwwIre uNNu(V30)+uwwIre_u_INTR
uNNuviye uNNu(V30)+viye_#_INTR
uNNuvire uNNu(V30)+vire_#_INTR
uNNuvuxe uNNu(V30)+vuxe_#_INTR
uNNale uNNu(V30)+ale_u_INTR
uNNalikke uNNu(V30)+alikke_u_INTR
uNNabeke uNNu(V30)+abeke_u_INTR
uNNakUdaxe uNNu(V30)+akUdaxe_u_INTR
uNNauNNaxe uNNu(V30)+auNNaxe_u_INTR
uNNane uNNu(V30)+ane_u_INTR
uNNalYe uNNu(V30)+alYe_u_INTR
uNNaxe uNNu(V30)+axe_u_INTR
uNNare uNNu(V30)+are_u_INTR
uNNave uNNu(V30)+ave_u_INTR
uNNalAreVve uNNu(V30)+alAreVve_u_INTR
uNNalAreVne uNNu(V30)+alAreVne_u_INTR
uNNalAririye uNNu(V30)+alAririye_u_INTR
uNNalArane uNNu(V30)+alArane_u_INTR
uNNalAralYe uNNu(V30)+alAralYe_u_INTR
uNNalAraxe uNNu(V30)+alAraxe_u_INTR
uNNalArare uNNu(V30)+alArare_u_INTR
uNNalArave uNNu(V30)+alArave_u_INTR
uNNauNNane uNNu(V30)+auNNane_u_INTR
uNNauNNalYe uNNu(V30)+auNNalYe_u_INTR
uNNauNNaxe uNNu(V30)+auNNaxe_u_INTR
uNNauNNare uNNu(V30)+auNNare_u_INTR
uNNauNNave uNNu(V30)+auNNave_u_INTR
uNNabahuxe uNNu(V30)+abahuxe_u_INTR
uNNalebeke uNNu(V30)+alebeke_u_INTR
uNNalpattiwe uNNu(V30)+alpattiwe_u_INTR
uNNalpattave uNNu(V30)+alpattave_u_INTR
uNNalpadaxanxye uNNu(V30)+alpadaxanxye_u_INTR
uNNalpadaxanvye uNNu(V30)+alpadaxanvye_u_INTR
uNNalpaduvuxe uNNu(V30)+alpaduvuxe_u_INTR
uNNalpaduvuve uNNu(V30)+alpaduvuve_u_INTR
uNNalpadaxe uNNu(V30)+alpadaxe_u_INTR
uNNalpadave uNNu(V30)+alpadave_u_INTR
uNNalpadabeke uNNu(V30)+alpadabeke_u_INTR
uNNalpadauNNxe uNNu(V30)+alpadauNNxe_u_INTR
uNNalpadakUdaxe uNNu(V30)+alpadakUdaxe_u_INTR
uNNalpadauNNaxe uNNu(V30)+alpadauNNaxe_u_INTR
uNNalpadabahuxe uNNu(V30)+alpadabahuxe_u_INTR
uNNalpadalebeke uNNu(V30)+alpadalebeke_u_INTR
uNNalpadalAraxe uNNu(V30)+alpadalAraxe_u_INTR
uNNalpadalArave uNNu(V30)+alpadalArave_u_INTR
uMdano uNNu(V30)+Mdano_NNu_INDF
uMdalYo uNNu(V30)+MdalYo_NNu_INDF
uMdiwo uNNu(V30)+Mdiwo_NNu_INDF
uMdaro uNNu(V30)+Mdaro_NNu_INDF
uMdavo uNNu(V30)+Mdavo_NNu_INDF
uNNuwwAno uNNu(V30)+wwAno_#_INDF
uNNuwwAlYo uNNu(V30)+wwAlYo_#_INDF
uNNuwwaxeVyo uNNu(V30)+uwwaxeVyo_u_INDF
uNNuvano uNNu(V30)+vano_#_INDF
uNNuvalYo uNNu(V30)+valYo_#_INDF
uNNuvuxo uNNu(V30)+vuxo_#_INDF
uNNuvaro uNNu(V30)+varo_#_INDF
uNNuvuvo uNNu(V30)+vuvo_#_INDF
uNNuvuxo uNNu(V30)+vuxo_#_INDF
uNNalo uNNu(V30)+alo_u_INDF
uNNalikko uNNu(V30)+alikko_u_INDF
uNNabeko uNNu(V30)+abeko_u_INDF
uNNakUdaxo uNNu(V30)+akUdaxo_u_INDF
uNNaballaxo uNNu(V30)+aballaxo_u_INDF
uNNano uNNu(V30)+ano_u_INDF
uNNalYo uNNu(V30)+alYo_u_INDF
uNNaxo uNNu(V30)+axo_u_INDF
uNNaro uNNu(V30)+aro_u_INDF
uNNavo uNNu(V30)+avo_u_INDF
uNNalArano uNNu(V30)+alArano_u_INDF
uNNalAralYo uNNu(V30)+alAralYo_u_INDF
uNNalAraxo uNNu(V30)+alAraxo_u_INDF
uNNalAraro uNNu(V30)+alAraro_u_INDF
uNNalAravo uNNu(V30)+alAravo_u_INDF
uNNaballano uNNu(V30)+aballano_u_INDF
uNNaballalYo uNNu(V30)+aballalYo_u_INDF
uNNaballaxo uNNu(V30)+aballaxo_u_INDF
uNNaballaro uNNu(V30)+aballaro_u_INDF
uNNaballavo uNNu(V30)+aballavo_u_INDF
