idisalpadabahuxu idisu(V29)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
idisalpadabahuxu idisu(V29)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
idisalpadabeku idisu(V29)+alpada_u_AVY+beku_#_FUTCOMP
idisalpadalebeku idisu(V29)+alpada_u_AVY+lebeku_#_FUTCOMP
idisalpadalAraxu idisu(V29)+alpadu_u_FUTNEG+alAraxu_u_3SN
idisalpadalAravu idisu(V29)+alpadu_u_FUTNEG+alAravu_u_3PN
idisalpadalAraxa idisu(V29)+alpadu_u_NEG+alAraxa_u_3SN
idisalpattarU idisu(V29)+alpadu_u_FUTCOND+pattarU_padu_NFV
idisalpaduwwa idisu(V29)+alpadu_u_PRESCONT+uwwa_u_NFV
idisalpatta idisu(V29)+alpadu_u_RP+patta_padu_PAST
idisalpadaxeV idisu(V29)+alpadu_u_NEG+axeV_u_NFV	
idisalpadaxa idisu(V29)+alpadu_u_NEG+axa_u_NFV
idisalpattu idisu(V29)+alpadu_u_PAST+pattu_padu_NFV
idisalpaduva idisu(V29)+alpadu_u_FUT+va_#_RP
idisalpadalu idisu(V29)+alpadu_u_INFN+alu_u_FUTINCH
idisalpadalikkeV idisu(V29)+alpadu_u_INFN+alikkeV_u_FUTINCH
idisalpattareV idisu(V29)+alpadu_u_FUTCOND+pattareV_padu_NFV
idisalpattalli idisu(V29)+alpadu_u_FUTCOND+pattalli_padu_NFV
idisalpaduwwiruva idisu(V29)+alpadu_u_AUX+uwwiruva_u_RP
idisalpaduwwixxa idisu(V29)+alpadu_u_AUX+uwwixxa_u_RP
idisalpaduwwaliruva idisu(V29)+alpadu_u_AUX+uwwaliruva_u_RP
idisalpaduwwirabekaxa idisu(V29)+alpadu_u_AUX+uwwiru_u_AVY+abekaxa_u_3SN
idisixanA idisu(V29)+ixanA_u_INTR
idisixalYA idisu(V29)+ixalYA_u_INTR
idisiwA idisu(V29)+iwA_u_INTR
idisixarA idisu(V29)+ixarA_u_INTR
idisixavA idisu(V29)+ixavA_u_INTR
idisuwwAnA idisu(V29)+uwwAnA_u_INTR
idisuwwAlYA idisu(V29)+uwwAlYA_u_INTR
idisuwwaxA idisu(V29)+uwwaxA_u_INTR
idisuvanA idisu(V29)+vanA_#_INTR
idisuvalYA idisu(V29)+valYA_#_INTR
idisuvuxA idisu(V29)+vuxA_#_INTR
idisuvarA idisu(V29)+varA_#_INTR
idisuvuvA idisu(V29)+vuvA_#_INTR
idisuwwiyA idisu(V29)+uwwiyA_u_INTR
idisuwwiriyA idisu(V29)+uwwiriyA_u_INTR
idisuwwIrA idisu(V29)+uwwIrA_u_INTR
idisuviyA idisu(V29)+viyA_#_INTR
idisuvirA idisu(V29)+virA_#_INTR
idisuvuxa idisu(V29)+vuxa_#_INTR
idisalA idisu(V29)+alA_u_INTR
idisokA idisu(V29)+okA_u_INTR
idisabekA idisu(V29)+abekA_u_INTR
idisakUdaxA idisu(V29)+akUdaxA_u_INTR
idisaballaxa idisu(V29)+aballaxa_u_INTR
idisanA idisu(V29)+anA_u_INTR
idisalYA idisu(V29)+alYA_u_INTR
idisaxa idisu(V29)+axa_u_INTR
idisarA idisu(V29)+arA_u_INTR
idisavA idisu(V29)+avA_u_INTR
idisalAreVvA idisu(V29)+alAreVvA_u_INTR
idisalAreVnA idisu(V29)+alAreVnA_u_INTR
idisalAririyA idisu(V29)+alAririyA_u_INTR
idisalAranA idisu(V29)+alAranA_u_INTR
idisalAralYA idisu(V29)+alAralYA_u_INTR
idisalAraxa idisu(V29)+alAraxa_u_INTR
idisalArarA idisu(V29)+alArarA_u_INTR
idisalAravA idisu(V29)+alAravA_u_INTR
idisaballanA idisu(V29)+aballanA_u_INTR
idisaballalYA idisu(V29)+aballalYA_u_INTR
idisaballaxa idisu(V29)+aballaxa_u_INTR
idisaballarA idisu(V29)+aballarA_u_INTR
idisaballavA idisu(V29)+aballavA_u_INTR
idisabahuxa idisu(V29)+abahuxa_u_INTR
idisalebekA idisu(V29)+alebekA_u_INTR
idisalpattiwA idisu(V29)+alpattiwA_u_INTR
idisalpattavA idisu(V29)+alpattavA_u_INTR
idisalpaduwwaxa idisu(V29)+alpaduwwaxa_u_INTR
idisalpaduwwavA idisu(V29)+alpaduwwavA_u_INTR
idisalpaduvuxa idisu(V29)+alpaduvuxa_u_INTR
idisalpaduvuvA idisu(V29)+alpaduvuvA_u_INTR
idisalpadaxa idisu(V29)+alpadaxa_u_INTR
idisalpadavA idisu(V29)+alpadavA_u_INTR
idisalpadabekA idisu(V29)+alpadabekA_u_INTR
idisalpadabarAxA idisu(V29)+alpadabarAxA_u_INTR
idisalpadakUdaxA idisu(V29)+alpadakUdaxA_u_INTR
idisalpadabahuxdA idisu(V29)+alpadabahuxdA_u_INTR
idisalpadalebekA idisu(V29)+alpadalebekA_u_INTR
idisalpadalAraxA idisu(V29)+alpadalAraxA_u_INTR
idisalpadalAravA idisu(V29)+alpadalAravA_u_INTR
idisixane idisu(V29)+ixane_u_INTR
idisixalYe idisu(V29)+ixalYe_u_INTR
idisuwwiwe idisu(V29)+wwiwe_#_INTR
idisixare idisu(V29)+ixare_u_INTR
idisixave idisu(V29)+ixave_u_INTR
idisuwwAnye idisu(V29)+uwwAnye_u_INTR
idisuwwAlYe idisu(V29)+uwwAlYe_u_INTR
idisuwwaxeVye idisu(V29)+uwwaxeVye_u_INTR
idisuvane idisu(V29)+vane_#_INTR
idisuvalYe idisu(V29)+valYe_#_INTR
idisuvuxe idisu(V29)+vuxe_#_INTR
idisuvare idisu(V29)+vare_#_INTR
idisuvuve idisu(V29)+vuve_#_INTR
idisuwwiriye idisu(V29)+wwiriye_#_INTR
idisuwwiye idisu(V29)+uwwiye_u_INTR
idisuwwIre idisu(V29)+uwwIre_u_INTR
idisuviye idisu(V29)+viye_#_INTR
idisuvire idisu(V29)+vire_#_INTR
idisuvuxe idisu(V29)+vuxe_#_INTR
idisale idisu(V29)+ale_u_INTR
idisalikke idisu(V29)+alikke_u_INTR
idisabeke idisu(V29)+abeke_u_INTR
idisakUdaxe idisu(V29)+akUdaxe_u_INTR
idisaidisaxe idisu(V29)+aidisaxe_u_INTR
idisane idisu(V29)+ane_u_INTR
idisalYe idisu(V29)+alYe_u_INTR
idisaxe idisu(V29)+axe_u_INTR
idisare idisu(V29)+are_u_INTR
idisave idisu(V29)+ave_u_INTR
idisalAreVve idisu(V29)+alAreVve_u_INTR
idisalAreVne idisu(V29)+alAreVne_u_INTR
idisalAririye idisu(V29)+alAririye_u_INTR
idisalArane idisu(V29)+alArane_u_INTR
idisalAralYe idisu(V29)+alAralYe_u_INTR
idisalAraxe idisu(V29)+alAraxe_u_INTR
idisalArare idisu(V29)+alArare_u_INTR
idisalArave idisu(V29)+alArave_u_INTR
idisaidisane idisu(V29)+aidisane_u_INTR
idisaidisalYe idisu(V29)+aidisalYe_u_INTR
idisaidisaxe idisu(V29)+aidisaxe_u_INTR
idisaidisare idisu(V29)+aidisare_u_INTR
idisaidisave idisu(V29)+aidisave_u_INTR
idisabahuxe idisu(V29)+abahuxe_u_INTR
idisalebeke idisu(V29)+alebeke_u_INTR
idisalpattiwe idisu(V29)+alpattiwe_u_INTR
idisalpattave idisu(V29)+alpattave_u_INTR
idisalpadaxe idisu(V29)+alpadaxe_u_INTR
idisalpadave idisu(V29)+alpadave_u_INTR
idisalpaduvuxe idisu(V29)+alpaduvuxe_u_INTR
idisalpaduvuve idisu(V29)+alpaduvuve_u_INTR
idisalpadaxe idisu(V29)+alpadaxe_u_INTR
idisalpadave idisu(V29)+alpadave_u_INTR
idisalpadabeke idisu(V29)+alpadabeke_u_INTR
idisalpadabAraxe idisu(V29)+alpadabAraxe_u_INTR
idisalpadakUdaxe idisu(V29)+alpadakUdaxe_u_INTR

idisalpadabahuxe idisu(V29)+alpadabahuxe_u_INTR
idisalpadalebeke idisu(V29)+alpadalebeke_u_INTR
idisalpadalAraxe idisu(V29)+alpadalAraxe_u_INTR
idisalpadalArave idisu(V29)+alpadalArave_u_INTR
idisixano idisu(V29)+ixano_u_INDF
idisixalYo idisu(V29)+ixalYo_u_INDF
idisiwo idisu(V29)+iwo_u_INDF
idisixaro idisu(V29)+ixaro_u_INDF
idisixavo idisu(V29)+ixavo_u_INDF
idisuwwAno idisu(V29)+wwAno_#_INDF
idisuwwAlYo idisu(V29)+wwAlYo_#_INDF
idisuwwaxeVyo idisu(V29)+uwwaxeVyo_u_INDF
idisuvano idisu(V29)+vano_#_INDF
idisuvalYo idisu(V29)+valYo_#_INDF
idisuvuxo idisu(V29)+vuxo_#_INDF
idisuvaro idisu(V29)+varo_#_INDF
idisuvuvo idisu(V29)+vuvo_#_INDF
idisuvuxo idisu(V29)+vuxo_#_INDF
idisalo idisu(V29)+alo_u_INDF
idisalikko idisu(V29)+alikko_u_INDF
idisabeko idisu(V29)+abeko_u_INDF
idisakUdaxo idisu(V29)+akUdaxo_u_INDF
idisaballaxo idisu(V29)+aballaxo_u_INDF
idisano idisu(V29)+ano_u_INDF
idisalYo idisu(V29)+alYo_u_INDF
idisaxo idisu(V29)+axo_u_INDF
idisaro idisu(V29)+aro_u_INDF
idisavo idisu(V29)+avo_u_INDF
idisalArano idisu(V29)+alArano_u_INDF
idisalAralYo idisu(V29)+alAralYo_u_INDF
idisalAraxo idisu(V29)+alAraxo_u_INDF
idisalAraro idisu(V29)+alAraro_u_INDF
idisalAravo idisu(V29)+alAravo_u_INDF
idisaballano idisu(V29)+aballano_u_INDF
idisaballalYo idisu(V29)+aballalYo_u_INDF
idisaballaxo idisu(V29)+aballaxo_u_INDF
idisaballaro idisu(V29)+aballaro_u_INDF
idisaballavo idisu(V29)+aballavo_u_INDF
idisalpattiwo idisu(V29)+alpattiwo_u_INDF
idisalpattavo idisu(V29)+alpattavo_u_INDF
idisalpaduwwaxo idisu(V29)+alpaduwwaxo_u_INDF
idisalpaduwwaveyo idisu(V29)+alpaduwwaveyo_u_INDF
idisalpaduvuxo idisu(V29)+alpaduvuxo_u_INDF
idisalpaduvuvo idisu(V29)+alpaduvuvo_u_INDF
idisalpadaxo idisu(V29)+alpadaxo_u_INDF
idisalpadavo idisu(V29)+alpadavo_u_INDF
idisalpadabeko idisu(V29)+alpadabeko_u_INDF

idisalpadaballaxo idisu(V29)+alpadaballaxo_u_INDF
idisalpadakUdaxo idisu(V29)+alpadakUdaxo_u_INDF
idisalpadalo idisu(V29)+alpadalo_u_INDF
idisalpadaidisaxo idisu(V29)+alpadaidisaxo_u_INDF
idisalpadabahuxo idisu(V29)+alpadabahuxo_u_INDF
idisalpadalebeko idisu(V29)+alpadalebeko_u_INDF
idisalpadalAraxo idisu(V29)+alpadalAraxo_u_INDF
idisalpadalAravo idisu(V29)+alpadalAravo_u_INDF
idisalpadaxanxo idisu(V29)+alpadaxanxo_u_INDF
idisalpadaxeVyo idisu(V29)+alpadaxeVyo_u_INDF
idisalpatto idisu(V29)+alpatto_u_INDF
idisalpadalo idisu(V29)+alpadalo_u_INDF
idisalpadalikko idisu(V29)+alpadalikko_u_INDF
idisalpattaro idisu(V29)+alpattaro_u_INDF
idisalpattalliyo idisu(V29)+alpattalliyo_u_INDF
idisuvuxe idisu(V29)+vuxe_#_IMP
idisuvuxakkeVye idisu(V29)+vuxakkeVye_#_IMP
idisale idisu(V29)+ale_u_IMPH
idisalikke idisu(V29)+alikke_u_IMP
idisalikkye idisu(V29)+alikkye_u_IMP
idisuwwale idisu(V29)+uwwale_u_IMP
idisuwwe idisu(V29)+wwe_#_IMP
idisalpaduvuxe idisu(V29)+alpaduvuxe_u_IMP
idisalpaduvuwwakkeye idisu(V29)+alpaduvuwwakkeye_u_IMP
idisalpatte idisu(V29)+alpatte_u_IMP
idisalpaduwwale idisu(V29)+alpaduwwale_u_IMP
idisuvuxU idisu(V29)+vuxU_#_INCL
idisixarU idisu(V29)+ixarU_u_INCL
idisalU idisu(V29)+alU_u_INCL
idisalikkyU idisu(V29)+alikkyU_u_INCL
idisalikkU idisu(V29)+alikkU_u_INCL
idisanU idisu(V29)+anU_u_INCL
idisalYU idisu(V29)+alYU_u_INCL
idisaxU idisu(V29)+axU_u_INCL
idisarU idisu(V29)+arU_u_INCL
idisavU idisu(V29)+avU_u_INCL
idisixarU idisu(V29)+ixarU_u_INCL
idisuwwalU idisu(V29)+uwwalU_u_INCL
idisixalliyU idisu(V29)+ixalliyU_u_INCL
idisalpadaxanlU idisu(V29)+alpadaxanlU_u_INCL
idisalpadaxanveVyU idisu(V29)+alpadaxanveVyU_u_INCL
idisalpaduvuxU idisu(V29)+alpaduvuxU_u_INCL
idisalpaduvuvU idisu(V29)+alpaduvuvU_u_INCL
idisalpattarU idisu(V29)+alpattarU_u_INCL
idisalpaduwwalU idisu(V29)+alpaduwwalU_u_INCL
idisalpadalU idisu(V29)+alpadalU_u_INCL
idisalpadalikkeyU idisu(V29)+alpadalikkeyU_u_INCL
idisalpattalliyU idisu(V29)+alpattalliyU_u_INCL
idisuvuxannu idisu(V29)+vuxannu_#_ACC
idisuvuxariMxa idisu(V29)+vuxariMxa_#_INS
idisuvuxakkeV idisu(V29)+vuxakkeV_#_DAT
idisuvuxariMxa idisu(V29)+vuxariMxa_#_ABL
idisuvuxara idisu(V29)+vuxara_#_GEN
idisuvuxaralli idisu(V29)+vuxaralli_#_LOC
idisuvuxakkoskara idisu(V29)+vuxu_#_DAT+xakkoskara_xu_BEN
idisuvuxakkoskara idisu(V29)+vuxu_#_DAT+xakkoskara_xu_PUR
idisuvuxaixagi idisu(V29)+vuxu_#_DAT+xaixagi_xu_BEN
idisuvuxaixagi idisu(V29)+vuxu_#_DAT+xaixagi_xu_PUR
idisuvuxakkosuga idisu(V29)+vuxu_#_DAT+xakkosuga_xu_BEN
idisuvuxakkosuga idisu(V29)+vuxu_#_DAT+xakkosuga_xu_PUR
idisuvuxakkiMwa idisu(V29)+vuxu_#_DAT+xakkiMwa_xu_COMP
idisuvaMweV idisu(V29)+vaMweV_#_SIM
idisuvaMwa idisu(V29)+vaMwa_#_SIM
idisuvaMwaha idisu(V29)+vaMwaha_#_SIM
idisuvuxaroVdaneV idisu(V29)+vuxu_#_GEN+xaroVdaneV_xu_SOC
idisuvuxaroVMxigeV idisu(V29)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
idisuvavanannu idisu(V29)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
idisuvavanannA idisu(V29)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
idisuvavanannU idisu(V29)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
idisuvavananno idisu(V29)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
idisuvavananno idisu(V29)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
idisuvavananno idisu(V29)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
idisuvavananne idisu(V29)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
idisuvavananne idisu(V29)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
idisuvavananne idisu(V29)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
idisuvavaniMxa idisu(V29)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
