avugalYigosugavA avu(PN5)+galYigosuga_#_PUR+vA_#_INTR
avugalYigosugavU avu(PN5)+galYigosuga_#_PUR+vU_#_INCL
avugalYigosugavo avu(PN5)+galYigosuga_#_PUR+vo_#_DUB
avugalYigosugavo avu(PN5)+galYigosuga_#_PUR+vo_#_INDF
avugalYigosugavo avu(PN5)+galYigosuga_#_PUR+vo_#_PRES
avugalYigosugave avu(PN5)+galYigosuga_#_PUR+ve_#_IMPH
avugalYigosugave avu(PN5)+galYigosuga_#_PUR+ve_#_DECL
avugalYigosugave avu(PN5)+galYigosuga_#_PUR+ve_#_RIS
avugalYigiMwalA avu(PN5)+galYigiMwa_#_COMP+lA_#_INTR
avugalYigiMwalU avu(PN5)+galYigiMwa_#_COMP+lU_#_INCL
avugalYigiMwalo avu(PN5)+galYigiMwa_#_COMP+lo_#_DUB
avugalYigiMwalo avu(PN5)+galYigiMwa_#_COMP+lo_#_INDF
avugalYigiMwalo avu(PN5)+galYigiMwa_#_COMP+lo_#_PRES
avugalYigiMwale avu(PN5)+galYigiMwa_#_COMP+le_#_IMPH
avugalYigiMwale avu(PN5)+galYigiMwa_#_COMP+le_#_DECL
avugalYigiMwale avu(PN5)+galYigiMwa_#_COMP+le_#_RIS
avugalYaMweVyA avu(PN5)+galYaMweV_#_SIM+yA_#_INTR
avugalYaMweVyU avu(PN5)+galYaMweV_#_SIM+yU_#_INCL
avugalYaMweVyo avu(PN5)+galYaMweV_#_SIM+yo_#_DUB
avugalYaMweVyo avu(PN5)+galYaMweV_#_SIM+yo_#_INDF
avugalYaMweVyo avu(PN5)+galYaMweV_#_SIM+yo_#_PRES
avugalYaMweVye avu(PN5)+galYaMweV_#_SIM+ye_#_IMPH
avugalYaMweVye avu(PN5)+galYaMweV_#_SIM+ye_#_DEC
avugalYaMweVye avu(PN5)+galYaMweV_#_SIM+ye_#_RIS
avugalYoVdaneVyA avu(PN5)+galYoVdaneV_#_SOC+yA_#_INTR
avugalYoVdaneVyU avu(PN5)+galYoVdaneV_#_SOC+yU_#_INCL
avugalYoVdaneVyo avu(PN5)+galYoVdaneV_#_SOC+yo_#_DUB
avugalYoVdaneVyo avu(PN5)+galYoVdaneV_#_SOC+yo_#_INDF
avugalYoVdaneVyo avu(PN5)+galYoVdaneV_#_SOC+yo_#_PRES
