nimmannu nIvu(PN12)+nimmannu_nIvu_ACC 
nimagosugave nIvu(PN12)+nimagosuga_nIvu_PUR+ve_#_RIS

nimagiMwalA nIvu(PN12)+nimagiMwa_nIvu_COMP+lA_#_INTR

nimagiMwalU nIvu(PN12)+nimagiMwa_nIvu_COMP+lU_#_INC

nimagiMwalo nIvu(PN12)+nimagiMwa_nIvu_COMP+lo_#_DUB

nimagiMwalo nIvu(PN12)+nimagiMwa_nIvu_COMP+lo_#_INDF

nimagiMwalo nIvu(PN12)+nimagiMwa_nIvu_COMP+lo_#_PRES

nimagiMwale nIvu(PN12)+nimagiMwa_nIvu_COMP+le_#_IMPH

nimagiMwale nIvu(PN12)+nimagiMwa_nIvu_COMP+le_#_DEC

nimagiMwale nIvu(PN12)+nimagiMwa_nIvu_COMP+le_#_RIS

nimmaMweVyA nIvu(PN12)+nimmaMweV_nIvu_SIM+yA_#_INTR

nimmaMweVyU nIvu(PN12)+nimmaMweV_nIvu_SIM+yU_#_INC

nimmaMweVyo nIvu(PN12)+nimmaMweV_nIvu_SIM+yo_#_DUB

nimmaMweVyo nIvu(PN12)+nimmaMweV_nIvu_SIM+yo_#_INDF

nimmaMweVyo nIvu(PN12)+nimmaMweV_nIvu_SIM+yo_#_PRES

nimmaMweVye nIvu(PN12)+nimmaMweV_nIvu_SIM+ye_#_IMPH

nimmaMweVye nIvu(PN12)+nimmaMweV_nIvu_SIM+ye_#_DEC
nimmaMweVye nIvu(PN12)+nimmaMweV_nIvu_SIM+ye_#_RIS

nimmoVdaneVyA nIvu(PN12)+nimmoVdaneV_nIvu_SOC+yA_#_INTR

nimmoVdaneVyU nIvu(PN12)+nimmoVdaneV_nIvu_SOC+yU_#_INC

nimmoVdaneVyo nIvu(PN12)+nimmoVdaneV_nIvu_SOC+yo_#_DUB

nimmoVdaneVyo nIvu(PN12)+nimmoVdaneV_nIvu_SOC+yo_#_INDF

nimmoVdaneVyo nIvu(PN12)+nimmoVdaneV_nIvu_SOC+yo_#_PRES

nimmoVdaneVye nIvu(PN12)+nimmoVdaneV_nIvu_SOC+ye_#_IMPH

nimmoVdaneVye nIvu(PN12)+nimmoVdaneV_nIvu_SOC+ye_#_DEC
nimmoVdaneVye nIvu(PN12)+nimmoVdaneV_nIvu_SOC+ye_#_RIS

nimmoVMxigeVyA nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+yA_#_INTR

nimmoVMxigeVyU nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+yU_#_INC

nimmoVMxigeVyo nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+yo_#_DUB

nimmoVMxigeVyo nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+yo_#_INDF

nimmoVMxigeVyo nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+yo_#_PRES

nimmoVMxigeVye nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+ye_#_IMPH

nimmoVMxigeVye nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+ye_#_DEC

nimmoVMxigeVye nIvu(PN12)+nimmoVMxigeV_nIvu_SOC+ye_#_RIS

